Top 2000 Bigram — Ortalama TF-IDF Skoru
Toplam bigram: 25,187
======================================================================
Sıra   Bigram                            Genel       1★       2★       3★       4★       5★
310    cok memnunum                    0.00045  0.00006  0.00003  0.00042  0.00028  0.00056
311    kargo ürün                      0.00045  0.00004  0.00006  0.00030  0.00035  0.00055
312    bir makine                      0.00045  0.00025  0.00038  0.00033  0.00052  0.00046
313    söze gerek                      0.00045  0.00000  0.00003  0.00021  0.00024  0.00061
314    güzel şık                       0.00045  0.00006  0.00015  0.00042  0.00067  0.00040
315    kaliteli çok                    0.00045  0.00008  0.00021  0.00023  0.00029  0.00057
316    ürün oldukça                    0.00045  0.00038  0.00008  0.00033  0.00050  0.00047
317    oldukça güzel                   0.00045  0.00002  0.00007  0.00030  0.00066  0.00043
318    kesinlikle çok                  0.00045  0.00053  0.00010  0.00018  0.00032  0.00055
319    iyi kargo                       0.00045  0.00029  0.00015  0.00038  0.00042  0.00049
320    bir aldım                       0.00045  0.00079  0.00031  0.00043  0.00040  0.00045
321    güzel fiyat                     0.00044  0.00000  0.00017  0.00036  0.00041  0.00050
322    en azından                      0.00044  0.00074  0.00143  0.00078  0.00064  0.00026
323    yok bu                          0.00044  0.00064  0.00051  0.00053  0.00048  0.00040
324    gercekten cok                   0.00044  0.00026  0.00000  0.00048  0.00033  0.00050
325    fiyat kaliteli                  0.00044  0.00000  0.00000  0.00027  0.00026  0.00058
326    çok hoşuma                      0.00044  0.00019  0.00015  0.00032  0.00057  0.00044
327    tesekkur ederim                 0.00044  0.00000  0.00000  0.00054  0.00022  0.00054
328    çok hafif                       0.00044  0.00014  0.00054  0.00044  0.00054  0.00041
329    fi yata                         0.00044  0.00007  0.00016  0.00022  0.00039  0.00052
330    ürünün kalitesi                 0.00044  0.00016  0.00061  0.00035  0.00029  0.00051
331    çekiş gücü                      0.00044  0.00077  0.00067  0.00043  0.00052  0.00038
332    problem yok                     0.00044  0.00015  0.00034  0.00052  0.00059  0.00038
333    daha hızlı                      0.00044  0.00025  0.00044  0.00045  0.00045  0.00044
334    daha sipariş                    0.00044  0.00019  0.00004  0.00033  0.00042  0.00048
335    küçük bir                       0.00043  0.00056  0.00101  0.00059  0.00057  0.00033
336    iyi kullanışlı                  0.00043  0.00004  0.00014  0.00052  0.00078  0.00032
337    fiyata iyi                      0.00043  0.00006  0.00026  0.00150  0.00068  0.00018
338    memnun kaldı                    0.00043  0.00005  0.00003  0.00028  0.00053  0.00045
339    muhteşem bir                    0.00043  0.00000  0.00003  0.00022  0.00011  0.00062
